GEO_ID,NAME,DP03_0051E,DP03_0052E,DP03_0053E,DP03_0054E,DP03_0055E,DP03_0056E,DP03_0057E,DP03_0058E,DP03_0059E,DP03_0060E,DP03_0061E,DP03_0062E,DP03_0063E
1400000US25005650700,Census Tract 6507; Bristol County; Massachusetts,1133,125,274,126,153,128,154,64,52,19,38,27519,43841
1400000US25005650800,Census Tract 6508; Bristol County; Massachusetts,1676,227,152,291,143,224,227,198,93,115,6,40104,51039
1400000US25005650900,Census Tract 6509; Bristol County; Massachusetts,1081,138,122,149,84,249,145,47,124,0,23,36431,71552
1400000US25005651001,Census Tract 6510.01; Bristol County; Massachusetts,1178,21,24,116,119,89,189,116,311,81,112,82692,97778
1400000US25005651002,Census Tract 6510.02; Bristol County; Massachusetts,1577,63,26,214,35,125,193,279,329,165,148,87543,100993
1400000US25005651100,Census Tract 6511; Bristol County; Massachusetts,1959,92,119,196,284,250,326,337,270,63,22,57909,62332
1400000US25005651200,Census Tract 6512; Bristol County; Massachusetts,931,73,84,85,62,104,220,83,181,23,16,57331,67348
1400000US25005651300,Census Tract 6513; Bristol County; Massachusetts,1053,137,55,168,159,110,103,95,111,81,34,36339,61481
1400000US25005651400,Census Tract 6514; Bristol County; Massachusetts,1365,77,86,191,66,238,158,225,216,6,102,55673,75032
1400000US25005651500,Census Tract 6515; Bristol County; Massachusetts,1344,88,19,144,83,193,167,354,165,98,33,72708,74277
1400000US25005651600,Census Tract 6516; Bristol County; Massachusetts,1603,55,87,93,121,274,235,281,319,64,74,70377,79621
1400000US25005651700,Census Tract 6517; Bristol County; Massachusetts,1060,122,97,227,219,32,122,99,56,57,29,28632,52413
1400000US25005651800,Census Tract 6518; Bristol County; Massachusetts,1411,282,367,180,219,56,179,48,38,42,0,17556,32091
1400000US25005651900,Census Tract 6519; Bristol County; Massachusetts,864,45,97,181,124,97,134,52,88,22,24,30000,50691
1400000US25005652000,Census Tract 6520; Bristol County; Massachusetts,1240,72,126,63,110,181,302,172,93,41,80,51441,69215
1400000US25005652100,Census Tract 6521; Bristol County; Massachusetts,1220,30,25,70,82,168,257,109,290,108,81,71686,91459
1400000US25005652200,Census Tract 6522; Bristol County; Massachusetts,1200,87,32,28,54,187,207,206,237,131,31,75284,83481
1400000US25005652300,Census Tract 6523; Bristol County; Massachusetts,1173,63,23,135,105,270,287,169,59,12,50,44696,75441
1400000US25005652400,Census Tract 6524; Bristol County; Massachusetts,1140,57,72,296,83,152,140,134,162,34,10,42203,56828
1400000US25005652500,Census Tract 6525; Bristol County; Massachusetts,1215,61,11,101,236,154,314,171,144,23,0,53671,60584
1400000US25005652600,Census Tract 6526; Bristol County; Massachusetts,1164,136,141,213,71,96,360,77,52,7,11,41094,45710
1400000US25005652700,Census Tract 6527; Bristol County; Massachusetts,1571,191,126,267,140,210,261,117,232,8,19,37261,51582
1400000US25005652800,Census Tract 6528; Bristol County; Massachusetts,1507,10,44,39,76,151,356,205,417,124,85,85960,93738
1400000US25005653101,Census Tract 6531.01; Bristol County; Massachusetts,2960,145,85,252,167,337,485,442,464,289,294,76324,93708
1400000US25005653102,Census Tract 6531.02; Bristol County; Massachusetts,1509,39,0,39,13,91,181,196,274,220,456,136709,151105
1400000US25005653203,Census Tract 6532.03; Bristol County; Massachusetts,2066,41,38,125,290,269,307,259,398,230,109,71830,91553
1400000US25005653204,Census Tract 6532.04; Bristol County; Massachusetts,1187,13,36,84,58,92,196,49,236,223,200,128618,139681
1400000US25005653301,Census Tract 6533.01; Bristol County; Massachusetts,2242,190,54,26,89,131,230,232,407,308,575,121413,165974
1400000US25005653304,Census Tract 6533.04; Bristol County; Massachusetts,1379,49,32,10,116,37,165,108,256,135,471,124875,182546
1400000US25005654100,Census Tract 6541; Bristol County; Massachusetts,2679,66,51,77,155,136,347,500,492,406,449,103393,127530
